profile,param_id,beta,gamma,run_id,seed,budget_k_pct,budget_k_nodes,strategy,time_step,mean_susceptible,mean_infected_active,mean_recovered,mean_ever_infected,n_households
smoke,beta0.20_gamma0.10,0.2,0.1,0,244,2,6,degree,4,1.4659,1.8182,0.5114,2.3295,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,244,2,6,degree,5,1.1932,1.8523,0.75,2.6023,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,244,2,6,degree,6,0.9205,1.8864,0.9886,2.875,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,244,2,6,degree,7,0.8636,1.7955,1.1364,2.9318,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,244,2,6,degree,8,0.7727,1.7273,1.2955,3.0227,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,244,2,6,degree,9,0.7159,1.5341,1.5455,3.0795,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,244,2,6,degree,10,0.7045,1.375,1.7159,3.0909,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10244,2,6,degree,0,2.8182,0.9773,0.0,0.9773,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10244,2,6,degree,1,2.4659,1.2045,0.125,1.3295,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10244,2,6,degree,2,2.0,1.5682,0.2273,1.7955,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10244,2,6,degree,3,1.5909,1.8636,0.3409,2.2045,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10244,2,6,degree,4,1.4205,1.8295,0.5455,2.375,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10244,2,6,degree,5,1.2159,1.8977,0.6818,2.5795,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10244,2,6,degree,6,1.0682,1.875,0.8523,2.7273,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10244,2,6,degree,7,0.9432,1.7386,1.1136,2.8523,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10244,2,6,degree,8,0.8068,1.7159,1.2727,2.9886,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10244,2,6,degree,9,0.75,1.6023,1.4432,3.0455,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10244,2,6,degree,10,0.7045,1.5227,1.5682,3.0909,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20244,2,6,degree,0,2.8182,0.9773,0.0,0.9773,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20244,2,6,degree,1,2.3409,1.3864,0.0682,1.4545,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20244,2,6,degree,2,1.8068,1.8295,0.1591,1.9886,88
